Rank,Release Group,Worldwide,Domestic,%,Foreign,%
31,The Boss Baby: Family Business,"$146,745,280","$57,300,280",39%,"$89,445,000",61%
32,PAW Patrol: The Movie,"$144,327,371","$40,127,371",27.8%,"$104,200,000",72.2%
33,Tom and Jerry,"$133,336,687","$46,536,687",34.9%,"$86,800,000",65.1%
34,Be Somebody,"$132,324,831",-,-,"$132,324,831",100%
35,Halloween Kills,"$131,647,155","$92,002,155",69.9%,"$39,645,000",30.1%
36,Raya and the Last Dragon,"$130,281,158","$54,723,032",42%,"$75,558,126",58%
37,Sister,"$128,317,206",-,-,"$128,317,206",100%
38,The King's Man,"$123,960,296","$36,901,741",29.8%,"$87,058,555",70.2%
39,The Addams Family 2,"$119,815,153","$56,489,153",47.1%,"$63,326,000",52.9%
40,My Love,"$114,016,434","$86,252",<0.1%,"$113,930,182",99.9%
41,Wrath of Man,"$103,966,489","$27,466,489",26.4%,"$76,500,000",73.6%
42,Clifford the Big Red Dog,"$100,247,356","$48,947,356",48.8%,"$51,300,000",51.2%
43,Detective Conan: The Scarlet Bullet,"$95,580,715",-,-,"$95,580,715",100%
44,Evangelion: 3.0+1.01 Thrice Upon a Time,"$92,246,218",-,-,"$92,246,218",100%
45,End Game,"$91,824,961","$23,149",<0.1%,"$91,801,812",100%
46,Old,"$90,112,510","$48,242,510",53.5%,"$41,870,000",46.5%
47,Mortal Kombat,"$83,726,031","$42,326,031",50.6%,"$41,400,000",49.4%
48,Boonie Bears: The Wild Life,"$77,961,258",-,-,"$77,961,258",100%
49,Candyman,"$77,411,570","$61,186,570",79%,"$16,225,000",21%
50,The Forever Purge,"$76,994,245","$44,539,245",57.8%,"$32,455,000",42.2%
51,1921,"$75,159,828",-,-,"$75,159,828",100%
52,Hitman's Wife's Bodyguard,"$70,060,492","$38,014,727",54.3%,"$32,045,765",45.7%
53,West Side Story,"$67,092,278","$37,309,162",55.6%,"$29,783,116",44.4%
54,Jujutsu Kaisen 0: The Movie,"$64,330,795",-,-,"$64,330,795",100%
55,Belle,"$62,815,697","$3,821,762",6.1%,"$58,993,935",93.9%
56,Ron's Gone Wrong,"$60,660,840","$23,009,270",37.9%,"$37,651,570",62.1%
57,Cloudy Mountain,"$58,281,703",-,-,"$58,281,703",100%
58,Avatar 2021 Re-release,"$57,566,409",-,-,"$57,566,409",100%
59,Nezha Reborn,"$56,088,478",-,-,"$56,088,478",100%
60,Nobody,"$55,405,035","$27,268,035",49.2%,"$28,137,000",50.8%
61,Upcoming,"$54,300,000",-,-,"$54,300,000",100%
62,Man in Love,"$52,946,097",-,-,"$52,946,097",100%
63,Break Through the Darkness,"$52,700,000",-,-,"$52,700,000",100%
64,Escape Room: Tournament of Champions,"$51,914,753","$25,314,753",48.8%,"$26,600,000",51.2%
65,Schemes in Antiques,"$51,637,422","$36,501",<0.1%,"$51,600,921",99.9%
66,Luca,"$49,750,471",-,-,"$49,750,471",100%
67,Don't Breathe 2,"$47,312,950","$32,712,950",69.1%,"$14,600,000",30.9%
68,My Hero Academia: World Heroes' Mission,"$46,567,849","$12,271,658",26.4%,"$34,296,191",73.6%
69,The French Dispatch,"$45,641,166","$16,124,375",35.3%,"$29,516,791",64.7%
70,Love Will Tear Us Apart,"$45,060,290",-,-,"$45,060,290",100%
71,In the Heights,"$43,975,167","$29,975,167",68.2%,"$14,000,000",31.8%
72,Spirit Untamed,"$42,636,215","$17,635,215",41.4%,"$25,001,000",58.6%
73,Spiral,"$40,618,920","$23,216,862",57.2%,"$17,402,058",42.8%
74,Snake Eyes,"$40,064,325","$28,264,325",70.5%,"$11,800,000",29.5%
75,Tokyo Revengers,"$39,687,069",-,-,"$39,687,069",100%
76,Nomadland,"$39,458,207","$3,700,000",9.4%,"$35,758,207",90.6%
77,Resident Evil: Welcome to Raccoon City,"$38,600,046","$17,000,046",44%,"$21,600,000",56%
78,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
79,Rurouni Kenshin: Final Chapter Part I - The Final,"$36,964,978",-,-,"$36,964,978",100%
80,The Door Lock,"$36,100,000",-,-,"$36,100,000",100%
81,Arashi Anniversary Tour 5 x 20 Film: Record of Memories,"$36,065,638",-,-,"$36,065,638",100%
82,I Fell in Love Like a Flower Bouquet,"$34,975,905",-,-,"$34,975,905",100%
83,King Richard,"$34,250,166","$14,931,337",43.6%,"$19,318,829",56.4%
84,Malignant,"$33,991,791","$13,391,791",39.4%,"$20,600,000",60.6%
85,Nightmare Alley,"$33,557,500","$11,047,389",32.9%,"$22,510,111",67.1%
86,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
87,Masquerade Night,"$32,287,400",-,-,"$32,287,400",100%
88,Once Upon a Time in Hong Kong,"$32,218,874",-,-,"$32,218,874",100%
89,Home Sweet Home,"$32,178,677",-,-,"$32,178,677",100%
90,Respect,"$31,765,870","$24,278,399",76.4%,"$7,487,471",23.6%
91,The Unholy,"$30,832,137","$15,532,137",50.4%,"$15,300,000",49.6%
92,The Last Duel,"$30,552,111","$10,853,945",35.5%,"$19,698,166",64.5%
93,The Little Things,"$29,942,746","$15,342,746",51.2%,"$14,600,000",48.8%
94,Escape from Mogadishu,"$29,855,981","$346,271",1.2%,"$29,509,710",98.8%
95,Master,"$28,692,230",-,-,"$28,692,230",100%
96,The Last Warrior: A Messenger of Darkness,"$28,431,360",-,-,"$28,431,360",100%
97,The Last Warrior: Root of Evil,"$28,357,398",-,-,"$28,357,398",100%
98,Chaos Walking,"$26,508,132","$13,287,908",50.1%,"$13,220,224",49.9%
99,Belfast,"$26,469,040","$8,044,040",30.4%,"$18,425,000",69.6%
100,American Underdog,"$26,385,316","$26,385,316",100%,-,-
101,The Courier,"$26,000,711","$6,613,432",25.4%,"$19,387,279",74.6%
102,Licorice Pizza,"$24,193,955","$14,445,955",59.7%,"$9,748,000",40.3%
103,Those Who Wish Me Dead,"$23,468,586","$7,407,200",31.6%,"$16,061,386",68.4%
104,The Marksman,"$23,076,711","$15,566,093",67.5%,"$7,510,618",32.5%
105,Last Night in Soho,"$22,957,625","$10,127,625",44.1%,"$12,830,000",55.9%
106,The Day We Lit Up the Sky,"$22,500,000",-,-,"$22,500,000",100%
107,Kaamelott: First Installment,"$21,962,844","$188,000",0.9%,"$21,774,844",99.1%
108,After We Fell,"$21,584,600","$2,170,750",10.1%,"$19,413,850",89.9%
109,Rurouni Kenshin: Final Chapter Part II - The Beginning,"$21,318,560",-,-,"$21,318,560",100%
110,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
111,Spencer,"$20,538,073","$7,086,632",34.5%,"$13,451,441",65.5%
112,Stillwater,"$19,672,073","$14,465,535",73.5%,"$5,206,538",26.5%
113,Les Tuche 4,"$19,259,766",-,-,"$19,259,766",100%
114,Dear Evan Hansen,"$19,021,477","$15,002,646",78.9%,"$4,018,831",21.1%
115,The Pioneer,"$18,900,000",-,-,"$18,900,000",100%
116,The Green Knight,"$18,888,418","$17,173,321",90.9%,"$1,715,097",9.1%
117,Antlers,"$18,867,659","$10,619,670",56.3%,"$8,247,989",43.7%
118,Sinkhole,"$18,804,231",-,-,"$18,804,231",100%
119,Mobile Suit Gundam: Hathaway,"$18,731,309",-,-,"$18,731,309",100%
120,The Stronghold,"$18,066,143",-,-,"$18,066,143",100%
121,Bo Gia,"$17,480,489","$350,000",2%,"$17,130,489",98%
122,The Dry,"$17,392,594","$364,237",2.1%,"$17,028,357",97.9%
123,Gintama: The Final,"$17,252,960",-,-,"$17,252,960",100%
124,Railway Heroes,"$17,222,703",-,-,"$17,222,703",100%
125,Upon the Magic Roads,"$15,990,882",-,-,"$15,990,882",100%
126,Reminiscence,"$15,800,193","$3,900,193",24.7%,"$11,900,000",75.3%
127,Your Turn to Kill,"$15,476,242",-,-,"$15,476,242",100%
128,The Night House,"$15,437,703","$7,100,581",46%,"$8,337,122",54%
129,Parallel Mothers,"$15,421,838","$1,554,604",10.1%,"$13,867,234",89.9%
130,Minari,"$15,322,552","$3,110,580",20.3%,"$12,211,972",79.7%
131,Something About Love,"$15,204,017",-,-,"$15,204,017",100%
132,Anita,"$15,026,604","$556,632",3.7%,"$14,469,972",96.3%
133,The Wolf and the Lion,"$14,759,382","$1,039,248",7%,"$13,720,134",93%
134,The Tomorrow War,"$14,400,000",-,-,"$14,400,000",100%
135,"And, the Baton Was Passed","$14,368,469",-,-,"$14,368,469",100%
136,Cry Macho,"$14,340,402","$10,310,734",71.9%,"$4,029,668",28.1%
137,99.9 Criminal Lawyer: The Movie,"$14,269,321",-,-,"$14,269,321",100%
138,Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,"$14,059,824",-,-,"$14,059,824",100%
139,Sword Art Online: Progressive - Aria of a Starless Night,"$13,769,821","$1,050,000",7.6%,"$12,719,821",92.4%
140,Christmas with the Chosen: The Messengers,"$13,728,000","$13,728,000",100%,-,-
141,OSS 117: From Africa with Love,"$13,435,888",-,-,"$13,435,888",100%
142,Hostage: Missing Celebrity,"$13,125,970",-,-,"$13,125,970",100%
143,Eiffel,"$13,061,937",-,-,"$13,061,937",100%
144,Vakeel Saab,"$13,056,490",-,-,"$13,056,490",100%
145,Monkey King Reborn,"$13,002,635",-,-,"$13,002,635",100%
146,No Escapes,"$12,916,151",-,-,"$12,916,151",100%
147,The Bodin's in the Land of Smile,"$12,872,253",-,-,"$12,872,253",100%
148,The Many Saints of Newark,"$12,737,403","$8,237,403",64.7%,"$4,500,000",35.3%
149,Character,"$12,571,501",-,-,"$12,571,501",100%
150,School of Magical Animals,"$12,231,509",-,-,"$12,231,509",100%
151,On Your Mark,"$12,100,000",-,-,"$12,100,000",100%
152,Stand by Me,"$11,900,000",-,-,"$11,900,000",100%
153,On the Line,"$11,772,156",-,-,"$11,772,156",100%
154,The Fable: The Killer Who Doesn't Kill,"$11,325,545",-,-,"$11,325,545",100%
155,What Did You Eat Yesterday?,"$11,320,893",-,-,"$11,320,893",100%
156,Aline,"$11,012,401","$588,430",5.3%,"$10,423,971",94.7%
157,Harry Potter and the Sorcerer's Stone 2021 Re-release,"$10,795,457","$799,342",7.4%,"$9,996,115",92.6%
158,Krack,"$10,442,916",-,-,"$10,442,916",100%
159,Kaiserschmarrndrama,"$10,357,720",-,-,"$10,357,720",100%
160,"Caution, Hazardous Wife: The Movie","$10,356,359",-,-,"$10,356,359",100%
161,Realm of Terracotta,"$10,341,512",-,-,"$10,341,512",100%
162,Detective Conan: The Scarlet Alibi,"$10,308,627",-,-,"$10,308,627",100%
163,Never Stop,"$10,224,935",-,-,"$10,224,935",100%
164,Sumikko Gurashi The Movie: The Magical Child Of The Blue Moonlit Night,"$9,735,732",-,-,"$9,735,732",100%
165,Black Box,"$9,685,061",-,-,"$9,685,061",100%
166,The Soul,"$9,600,000",-,-,"$9,600,000",100%
167,¡A todo tren! Destino Asturias,"$9,544,171",-,-,"$9,544,171",100%
168,Baragaki: Unbroken Samurai,"$9,481,437",-,-,"$9,481,437",100%
169,The Vault,"$9,022,920",-,-,"$9,022,920",100%
170,All About My Mother,"$8,900,000",-,-,"$8,900,000",100%
171,The Eleventh Chapter,"$8,845,525",-,-,"$8,845,525",100%
172,Kaguya-sama: Love Is War,"$8,794,981",-,-,"$8,794,981",100%
173,Agent Backkom: Kings Bear,"$8,500,000",-,-,"$8,500,000",100%
174,Honey Lemon Soda,"$8,441,488",-,-,"$8,441,488",100%
175,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
176,Delicious,"$8,342,846",-,-,"$8,342,846",100%
177,The Protégé,"$8,282,208","$7,446,823",89.9%,"$835,385",10.1%
178,I Don't Have Any Money Left in My Retirement Account,"$8,204,616",-,-,"$8,204,616",100%
179,White Snake 2: Green Snake,"$8,170,000",-,-,"$8,170,000",100%
180,Ainbo,"$8,133,281",-,-,"$8,133,281",100%
181,New Happy Dad and Son 4,"$8,070,000",-,-,"$8,070,000",100%
182,The Medium,"$7,970,149",-,-,"$7,970,149",100%
183,Sunny Sisters,"$7,880,000",-,-,"$7,880,000",100%
184,Hard Hit,"$7,633,895",-,-,"$7,633,895",100%
185,Little Canned Men,"$7,600,000",-,-,"$7,600,000",100%
186,Pushpa: The Rise - Part 1,"$7,592,374","$1,320,000",17.4%,"$6,272,374",82.6%
187,Dad,"$7,544,581",-,-,"$7,544,581",100%
188,The Mauritanian,"$7,527,030","$836,536",11.1%,"$6,690,494",88.9%
189,The Ice Road,"$7,502,846",-,-,"$7,502,846",100%
190,Love Letter 2021 Re-release,"$7,400,000",-,-,"$7,400,000",100%
191,'83,"$7,349,452","$4,055,660",55.2%,"$3,293,792",44.8%
192,Signal: The Movie,"$7,344,186",-,-,"$7,344,186",100%
193,Lost Illusions,"$7,248,237",-,-,"$7,248,237",100%
194,Dear Tutu: Operation T-Rex,"$7,200,000",-,-,"$7,200,000",100%
195,Water Boys,"$7,200,000",-,-,"$7,200,000",100%
196,Couple from the Future,"$7,160,729",-,-,"$7,160,729",100%
197,Contra,"$7,099,187",-,-,"$7,099,187",100%
198,Sooryavanshi,"$6,984,082","$3,547,776",50.8%,"$3,436,306",49.2%
199,Extinct,"$6,927,641",-,-,"$6,927,641",100%
200,Are You Lonesome Tonight?,"$6,902,639",-,-,"$6,902,639",100%
